Klient	PVU-Card Nr	Katalog	Art Nr	Cena	Nazwanie	Razmer	Zwet	Primechanie	URL	Discount	SiteOrder
Indira_kam		H&M	335976	10,0000	Sneaker	39	Желтооранжевый	3018_Indira_kam		1,0000	468
Indira_kam		H&M	308341	15,0000	Blusenkleid	40	Khakigrun	3020_Indira_kam		1,0000	468
Indira_kam		H&M	312369	10,0000	Langarmkleid	40	Dankelgrun	3022_Indira_kam		1,0000	468
Indira_kam		H&M	324336	9,0000	Baxershort	Xl	Turkis	3023_Indira_kam		1,0000	468
Indira_kam		H&M	445055	7,9900	Socken	39/41	Gemustert	3026_Indira_kam		1,0000	468
Indira_kam		H&M	350112	5,0000	Slips	40	Hellila	3029_Indira_kam		1,0000	468
Indira_kam		H&M	330082	5,0000	Bandeu	40	Scwarz gestreift	3032_Indira_kam		1,0000	468
Indira_kam		H&M	306118	20,0000	Mantel	116	Hellblau	3037_Indira_kam		1,0000	468
Indira_kam		H&M	356599	9,0000	Kapuzenjacke	92	Blau	3038_Indira_kam		1,0000	468
Indira_kam		H&M	356698	7,0000	Sweathose	92	Blau	3039_Indira_kam		1,0000	468
Indira_kam		H&M	333031	10,0000	Sweatshirt	L	Hellrosa	3040_Indira_kam		1,0000	468
