Klient	PVU-Card Nr	Katalog	Art Nr	Cena	Nazwanie	Razmer	Zwet	Primechanie	URL	Discount	SiteOrder
Aliya_toleu		H&M	338375	5,0000	Baseballshirt	L	Dunkelblau	2231_Aliya_toleu		1,0000	377
Aliya_toleu		H&M	314175	15,0000	Steppweste/Steppgilet	42	Schwarz	2232_Aliya_toleu		1,0000	377
Aliya_toleu		H&M	406358	15,0000	Denimsneaker	39	Blau	2234_Aliya_toleu		1,0000	377
