Klient	PVU-Card Nr	Katalog	Art Nr	Cena	Nazwanie	Razmer	Zwet	Primechanie	URL	Discount	SiteOrder
Indira_kam		KIK24	164967009391	9,9900	gesteppt	40		2665_Indira_kam		1,0000	423
Indira_kam		KIK24	168246009381	15,9900	trenchcoat	42		2666_Indira_kam		1,0000	423
Indira_kam		KIK24	1166100097211	7,9900	hemd	xxl		2667_Indira_kam		1,0000	423
Indira_kam		KIK24	129747004761	9,9900	jeans	38/34		2668_Indira_kam		1,0000	423
Indira_kam		KIK24	154040008741	6,9900	jeansgurtel	86		2669_Indira_kam		1,0000	423
