Klient	PVU-Card Nr	Katalog	Art Nr	Cena	Nazwanie	Razmer	Zwet	Primechanie	URL	Discount	SiteOrder
Indira_kam		BONPRIX	91716981	6,9900	badeanzug	40	gelb	2305_Indira_kam		1,0000	390
Indira_kam		BONPRIX	94296781	14,9900	schnurschuh	40	graugrun	2307_Indira_kam		1,0000	390
Indira_kam		BONPRIX	92208881	7,9900	strickset		crem multi	2309_Indira_kam		1,0000	390
Indira_kam		BONPRIX	92208881	7,9900	strickset		crem multi	2310_Indira_kam		1,0000	390
Indira_kam		BONPRIX	96441681	7,9900	schnurstiefel	29	camouflage	2312_Indira_kam		1,0000	390
