Klient	PVU-Card Nr	Katalog	Art Nr	Cena	Nazwanie	Razmer	Zwet	Primechanie	URL	Discount	SiteOrder
Anara9		ZARA	2115062	25,9500	MEHRLAGIGESTOPMITPRINTUNDKASTENAUSSCHNITT	XS	Hell Nerzfarbe	2928_Anara9	http://www.zara.com/de/de/damen/oberteile/alles-anzeigen/mehrlagiges-top-mit-print-und-kastenausschnitt-c719021p2467031.html	1,0000	454
Anara9		ZARA	2166281	59,9500	SAMTBLAZEROHNEREVERS	S	Marineblau	2929_Anara9	http://www.zara.com/de/de/damen/jacken/alles-anzeigen/samtblazer-ohne-revers-c719017p2496042.html	1,0000	454
Anara9		ZARA	2010354	29,9500	TOPMITPOSITIONELLEMPRINT	S	Schwarz	2930_Anara9	http://www.zara.com/de/de/damen/oberteile/alles-anzeigen/top-mit-positionellem-print-c719021p2401534.html	1,0000	454
