Klient	PVU-Card Nr	Katalog	Art Nr	Cena	Nazwanie	Razmer	Zwet	Primechanie	URL	Discount	SiteOrder
El_mira_nu		ZARA	5584311	17,9500	JACQUARDKLEID	S	Wei?	2781_El_mira_nu	http://www.zara.com/de/de/trf/kleider/jacquardkleid-c358031p2731517.html	1,0000	442
El_mira_nu		ZARA	4174002	14,9500	LANGESKLEID	S	Korallenrot	2782_El_mira_nu	http://www.zara.com/de/de/trf/kleider/langes-kleid-c358031p2490549.html	1,0000	442
El_mira_nu		ZARA	0264080	17,9500	TRAGERSHIRTMITFRANSEN	S	Wei?	2783_El_mira_nu	http://www.zara.com/de/de/trf/t-shirts/tr%C3%A4gershirt-mit-fransen-c587007p2635001.html	1,0000	442
El_mira_nu		ZARA	8800004	25,9500	RUCKSACKMITUBERSCHLAG	M	Eisblau	2784_El_mira_nu	http://www.zara.com/de/de/trf/handtaschen/alles-anzeigen/rucksack-mit-%C3%BCberschlag-c719537p2743527.html	1,0000	442
El_mira_nu		H&M	341405	7,5000	Bikinitop	38	Schwarz	2786_El_mira_nu		1,0000	442
El_mira_nu		H&M	384663	9,9900	Schlauchkleid	S	Kornblumenblau	2787_El_mira_nu		1,0000	442
El_mira_nu		H&M	365631	9,9900	GeripptesKleid	S	Schwarz	2788_El_mira_nu		1,0000	442
El_mira_nu		H&M	415479	12,9900	BadeanzugmitDruck	98/104	Hellrosa	2789_El_mira_nu		1,0000	442
El_mira_nu		H&M	525150	5,9900	Sonnenhut	92/104	Hellbeige	2790_El_mira_nu		1,0000	442
El_mira_nu		H&M	532795	5,9900	Zehentrenner	24/25	Hellbeige	2791_El_mira_nu		1,0000	442
El_mira_nu		H&M	393059	17,9900	umpsuitausLyocell	98	Blau	2792_El_mira_nu		1,0000	442
El_mira_nu		H&M	382813	9,9900	Sweatshorts	XL	Schwarz	2793_El_mira_nu		1,0000	442
El_mira_nu		H&M	381338	6,9900	Sonnenhut	86	Dunkelblau	2825_El_mira_nu		1,0000	442
El_mira_nu		H&M	395041	5,9900	Popelineshorts	86	Turkis/Gemustert	2826_El_mira_nu		1,0000	442
El_mira_nu		H&M	440928	9,9900	2er-PackT-Shirts	86	Mintgrun	2828_El_mira_nu		1,0000	442
El_mira_nu		H&M	395019	5,9900	Popelineshorts	86	Turkis	2829_El_mira_nu		1,0000	442
