Klient	PVU-Card Nr	Katalog	Art Nr	Cena	Nazwanie	Razmer	Zwet	Primechanie	URL	Discount	SiteOrder
Gul_mira_a		H&M	432169	10,0000	Poloshirt	XS	Wei?	1884_Gul_mira_a		1,0000	344
Gul_mira_a		H&M	338386	7,0000	Baseballshirt	XS	Grau	1885_Gul_mira_a		1,0000	344
Gul_mira_a		H&M	334944	5,0000	2er-PackMicrofaser-Slips	34	Wei?/Geblumt	1886_Gul_mira_a		1,0000	344
Gul_mira_a		H&M	335207	7,0000	Bustier	GROSSE 75B 	Hellrosa/Geblumt	1887_Gul_mira_a		1,0000	344
Gul_mira_a		H&M	338980	10,0000	Feinstrick-Pullover	XS	Wei?/Gestreift	1888_Gul_mira_a		1,0000	344
