Klient	PVU-Card Nr	Katalog	Art Nr	Cena	Nazwanie	Razmer	Zwet	Primechanie	URL	Discount	SiteOrder
EreGal		ZARA	8046004	19,9900	City-taschemitschloss	M	Rot	2969_EreGal		1,0000	457
EreGal		STRADIVARIUS	07568001	15,9500	BRIEFTASCHEFURDIEREISE	0	150	2970_EreGal		1,0000	457
