Klient	PVU-Card Nr	Katalog	Art Nr	Cena	Nazwanie	Razmer	Zwet	Primechanie	URL	Discount	SiteOrder
ShakDiyo		H&M	372321	14,9900	2er-PackJerseypyjamas	989104	Wei?	2483_ShakDiyo		1,0000	410
ShakDiyo		H&M	428492	7,9900	3er-PackBoxerslips	110(116	Rosa	2484_ShakDiyo		1,0000	410
ShakDiyo		H&M	389524	5,9900	5er-PackSlips	110(116	Hellturkis	2485_ShakDiyo		1,0000	410
ShakDiyo		H&M	428503	7,9900	2er-PackTops	110(116	Rosa/Gemustert	2486_ShakDiyo		1,0000	410
ShakDiyo		H&M	388868	7,9900	2er-PackTops	110(116	     Hellrosa	2487_ShakDiyo		1,0000	410
ShakDiyo		H&M	383146	9,9900	5er-PackKurzsocken	22(24	Wei?/Minnie Maus	2488_ShakDiyo		1,0000	410
ShakDiyo		H&M	310669	6,9900	KleidmitPuffarmeln	98(104	Wei?/Dunkelblau str	2489_ShakDiyo		1,0000	410
ShakDiyo		H&M	375673	5,0000	Jerseykleid	98(104	     Gelb	2490_ShakDiyo		1,0000	410
ShakDiyo		H&M	393554	5,0000	Jerseykleid	98(104	Lila/Geblumt	2491_ShakDiyo		1,0000	410
ShakDiyo		H&M	429246	5,9900	3er-PackSlips	158(164	Grau	2492_ShakDiyo		1,0000	410
ShakDiyo		H&M	479341	6,9900	2er-PackTops	158(164	Schwarz	2493_ShakDiyo		1,0000	410
ShakDiyo		H&M	457171	6,9900	2er-PackTops	158(164	Gro?e wahlen 	2494_ShakDiyo		1,0000	410
ShakDiyo		H&M	382854	9,9900	Jerseykleid	158(164	Rosa/Gemustert	2495_ShakDiyo		1,0000	410
ShakDiyo		H&M	381875	12,9900	Jerseykleid	158(164	Wei?/Grun	2496_ShakDiyo		1,0000	410
ShakDiyo		H&M	436423	7,9900	7er-PackKurzsocken	37(39	     Gelb	2497_ShakDiyo		1,0000	410
ShakDiyo		H&M	310669	6,9900	KleidmitPuffarmeln	110(116	Wei?/Dunkelblau str	2498_ShakDiyo		1,0000	410
ShakDiyo		H&M	375673	5,0000	Jerseykleid	110(116	Gelb	2499_ShakDiyo		1,0000	410
ShakDiyo		H&M	380610	5,9900	Jerseykleid	110(116	Hellblau	2500_ShakDiyo		1,0000	410
ShakDiyo		ZARA	0367200	12,9500	OVERSIZE-PULLOVER	M	Kaugum	2514_ShakDiyo		1,0000	410
ShakDiyo		ZARA	1509100	19,9500	JACKEMITSCHALKRAGEN	M	Marinebl	2516_ShakDiyo		1,0000	410
ShakDiyo		H&M	383146	9,9900	5er-PackKurzsocken	25(27	Wei?/Minnie Maus	2517_ShakDiyo		1,0000	410
ShakDiyo		H&M	449114	12,9900	2er-PackShirts	110(116	My Little Pony	2518_ShakDiyo		1,0000	410
ShakDiyo		H&M	331800	5,0000	Baumwollshorts	110	     Grau	2519_ShakDiyo		1,0000	410
ShakDiyo		H&M	331746	5,0000	Baumwollshorts	110	Dunkelblau/Herz	2521_ShakDiyo		1,0000	410
