Klient	PVU-Card Nr	Katalog	Art Nr	Cena	Nazwanie	Razmer	Zwet	Primechanie	URL	Discount	SiteOrder
DosAin		H&M	331117	14,0000	Chino	38	Hellrosa	2267_DosAin		1,0000	379
DosAin		H&M	444057	7,9900	Jerseyleggings	116	Weib/Lila 	2268_DosAin		1,0000	379
DosAin		H&M	440173	12,9900	2-er-packshirts	110/116	Hellgrau	2269_DosAin		1,0000	379
DosAin		H&M	414107	5,0000	Baumwollcap	122/128	Hellrosa 	2270_DosAin		1,0000	379
DosAin		H&M	408486	5,0000	Jerseykleid	110/116	Gelb	2271_DosAin		1,0000	379
DosAin		H&M	331700	7,0000	Weitessweatshirt	M	Hellbeige 	2272_DosAin		1,0000	379
